AC00	1100 1161
AC01	1100 1161 11A8
AC02	1100 1161 11A9
AC03	1100 1161 11AA
AC04	1100 1161 11AB
AC05	1100 1161 11AC
AC06	1100 1161 11AD
AC07	1100 1161 11AE
AC08	1100 1161 11AF
AC09	1100 1161 11B0
AC0A	1100 1161 11B1
AC0B	1100 1161 11B2
AC0C	1100 1161 11B3
AC0D	1100 1161 11B4
AC0E	1100 1161 11B5
AC0F	1100 1161 11B6
AC10	1100 1161 11B7
AC11	1100 1161 11B8
AC12	1100 1161 11B9
AC13	1100 1161 11BA
AC14	1100 1161 11BB
AC15	1100 1161 11BC
AC16	1100 1161 11BD
AC17	1100 1161 11BE
AC18	1100 1161 11BF
AC19	1100 1161 11C0
AC1A	1100 1161 11C1
AC1B	1100 1161 11C2
AC1C	1100 1162
AC1D	1100 1162 11A8
AC1E	1100 1162 11A9
AC1F	1100 1162 11AA
AC20	1100 1162 11AB
AC21	1100 1162 11AC
AC22	1100 1162 11AD
AC23	1100 1162 11AE
AC24	1100 1162 11AF
AC25	1100 1162 11B0
AC26	1100 1162 11B1
AC27	1100 1162 11B2
AC28	1100 1162 11B3
AC29	1100 1162 11B4
AC2A	1100 1162 11B5
AC2B	1100 1162 11B6
AC2C	1100 1162 11B7
AC2D	1100 1162 11B8
AC2E	1100 1162 11B9
AC2F	1100 1162 11BA
AC30	1100 1162 11BB
AC31	1100 1162 11BC
AC32	1100 1162 11BD
AC33	1100 1162 11BE
AC34	1100 1162 11BF
AC35	1100 1162 11C0
AC36	1100 1162 11C1
AC37	1100 1162 11C2
AC38	1100 1163
AC39	1100 1163 11A8
AC3A	1100 1163 11A9
AC3B	1100 1163 11AA
AC3C	1100 1163 11AB
AC3D	1100 1163 11AC
AC3E	1100 1163 11AD
AC3F	1100 1163 11AE
AC40	1100 1163 11AF
AC41	1100 1163 11B0
AC42	1100 1163 11B1
AC43	1100 1163 11B2
AC44	1100 1163 11B3
AC45	1100 1163 11B4
AC46	1100 1163 11B5
AC47	1100 1163 11B6
AC48	1100 1163 11B7
AC49	1100 1163 11B8
AC4A	1100 1163 11B9
AC4B	1100 1163 11BA
AC4C	1100 1163 11BB
AC4D	1100 1163 11BC
AC4E	1100 1163 11BD
AC4F	1100 1163 11BE
AC50	1100 1163 11BF
AC51	1100 1163 11C0
AC52	1100 1163 11C1
AC53	1100 1163 11C2
AC54	1100 1164
AC55	1100 1164 11A8
AC56	1100 1164 11A9
AC57	1100 1164 11AA
AC58	1100 1164 11AB
AC59	1100 1164 11AC
AC5A	1100 1164 11AD
AC5B	1100 1164 11AE
AC5C	1100 1164 11AF
AC5D	1100 1164 11B0
AC5E	1100 1164 11B1
AC5F	1100 1164 11B2
AC60	1100 1164 11B3
AC61	1100 1164 11B4
AC62	1100 1164 11B5
AC63	1100 1164 11B6
AC64	1100 1164 11B7
AC65	1100 1164 11B8
AC66	1100 1164 11B9
AC67	1100 1164 11BA
AC68	1100 1164 11BB
AC69	1100 1164 11BC
AC6A	1100 1164 11BD
AC6B	1100 1164 11BE
AC6C	1100 1164 11BF
AC6D	1100 1164 11C0
AC6E	1100 1164 11C1
AC6F	1100 1164 11C2
AC70	1100 1165
AC71	1100 1165 11A8
AC72	1100 1165 11A9
AC73	1100 1165 11AA
AC74	1100 1165 11AB
AC75	1100 1165 11AC
AC76	1100 1165 11AD
AC77	1100 1165 11AE
AC78	1100 1165 11AF
AC79	1100 1165 11B0
AC7A	1100 1165 11B1
AC7B	1100 1165 11B2
AC7C	1100 1165 11B3
AC7D	1100 1165 11B4
AC7E	1100 1165 11B5
AC7F	1100 1165 11B6
AC80	1100 1165 11B7
AC81	1100 1165 11B8
AC82	1100 1165 11B9
AC83	1100 1165 11BA
AC84	1100 1165 11BB
AC85	1100 1165 11BC
AC86	1100 1165 11BD
AC87	1100 1165 11BE
AC88	1100 1165 11BF
AC89	1100 1165 11C0
AC8A	1100 1165 11C1
AC8B	1100 1165 11C2
AC8C	1100 1166
AC8D	1100 1166 11A8
AC8E	1100 1166 11A9
AC8F	1100 1166 11AA
AC90	1100 1166 11AB
AC91	1100 1166 11AC
AC92	1100 1166 11AD
AC93	1100 1166 11AE
AC94	1100 1166 11AF
AC95	1100 1166 11B0
AC96	1100 1166 11B1
AC97	1100 1166 11B2
AC98	1100 1166 11B3
AC99	1100 1166 11B4
AC9A	1100 1166 11B5
AC9B	1100 1166 11B6
AC9C	1100 1166 11B7
AC9D	1100 1166 11B8
AC9E	1100 1166 11B9
AC9F	1100 1166 11BA
ACA0	1100 1166 11BB
ACA1	1100 1166 11BC
ACA2	1100 1166 11BD
ACA3	1100 1166 11BE
ACA4	1100 1166 11BF
ACA5	1100 1166 11C0
ACA6	1100 1166 11C1
ACA7	1100 1166 11C2
ACA8	1100 1167
ACA9	1100 1167 11A8
ACAA	1100 1167 11A9
ACAB	1100 1167 11AA
ACAC	1100 1167 11AB
ACAD	1100 1167 11AC
ACAE	1100 1167 11AD
ACAF	1100 1167 11AE
ACB0	1100 1167 11AF
ACB1	1100 1167 11B0
